page_id	title	creation	age	views	page_edits	editors	len	references	talks	talkers	links	linked	urls	ref_urls	ref_pubs
17220636	Index_of_World_War_II_articles_(U)	2008	13	5938	30	21	179276	0	3	3	3539	53	0	0	0
17238515	Georgia	2001	19	36484	1570	866	4018	0	1400	469	51	8	0	0	0
17238567	Guatemala	2001	19	322778	10241	4889	187280	138	434	228	664	16434	213	103	41
17279743	Cartoon_Network	2002	18	268132	15211	5453	94322	77	1239	337	908	4457	95	75	5
17306237	Melbourne	2001	19	265172	12058	4349	155343	194	1708	382	1236	30762	250	162	27
17322701	Penis	2001	19	240299	8409	3670	100091	167	3696	1485	337	835	170	139	134
17329265	Kris_Jenner	2008	13	1232689	4443	2384	27979	34	150	82	90	177	56	31	1
17349325	United_States_Marine_Corps	2001	19	438845	10457	4282	174140	132	1231	321	1105	12667	168	104	25
17349356	2014_Indian_general_election	2008	13	152450	4264	1172	249542	340	680	106	727	1960	384	339	0
17380298	Robert_Mugabe	2002	19	259494	7851	2990	177517	99	1411	497	585	1324	111	78	23
17414699	Genghis_Khan	2002	19	904261	12750	4730	146693	117	2470	624	644	1706	161	59	54
17416221	South_Africa	2001	19	1224534	11151	4851	177743	193	1839	618	1538	83268	235	172	35
17416342	Xbox_(console)	2001	19	133842	10612	5326	76023	79	824	363	604	2844	91	76	1
17450998	2008_California_Proposition_8	2008	13	32030	4622	1164	186050	256	2416	412	1402	848	304	239	1
17481271	Fluorine	2001	20	74365	8309	1908	158691	426	1263	185	675	1237	186	93	157
17501140	List_of_foreign_Liga_MX_players	2008	13	4477	1151	103	184588	12	9	5	998	3	1041	12	0
17527247	List_of_skin_conditions	2008	13	28076	4061	247	200092	151	384	46	2766	85	72	44	147
17592646	List_of_video_game_remakes_and_remastered_ports	2008	13	24227	1194	384	279423	342	72	36	847	6	503	341	0
17597770	List_of_National_Football_League_head_coaches	2008	13	3137	348	85	266759	501	9	9	1271	4	504	500	1
17627213	List_of_music_recording_certifications	2008	13	35637	1022	334	68956	65	127	42	107	25690	69	60	1
17635462	List_of_atheists_in_science_and_technology	2008	13	13204	1706	454	227383	189	373	89	1057	9	229	101	100
17740009	Topological_data_analysis	2008	13	15540	477	178	82681	108	9	9	75	39	105	19	102
17742072	2022_FIFA_World_Cup	2008	13	1518273	3712	1510	104972	131	282	98	330	1571	150	127	1
17756158	List_of_Dora_the_Explorer_home_media_releases	2008	13	3353	1383	297	137195	320	48	11	38	11	611	307	104
17782843	Lady_Gaga	2008	13	1443761	16106	3608	286337	303	7841	2076	1452	5332	511	296	11
17927912	List_of_professional_sports_families	2008	13	2808	1406	195	142306	1	1	1	3152	16	6	1	0
17937080	Football_records_and_statistics_in_Spain	2008	13	52117	7467	1748	292186	168	494	125	1133	257	165	151	1
17961979	List_of_minor_planets:_186001–187000	2008	13	28	54	17	189852	0	10	10	101	83	2003	0	0
17962000	List_of_minor_planets:_187001–188000	2008	13	52	70	22	197088	0	10	10	140	115	2003	0	0
18056226	Historic_England	2008	13	10595	92	54	11130	12	10	7	101	20018	27	12	0
18083942	List_of_political_and_geographic_subdivisions_by_total_area_(all)	2008	13	6793	37	17	1819	0	9	7	5047	4	9	0	0
18195583	IOS_version_history	2008	13	225728	13550	4291	413302	211	614	215	730	499	327	210	0
18196766	List_of_United_States_political_families_(B)	2008	13	2006	1121	189	321026	686	7	5	1126	10	705	686	2
18196786	List_of_United_States_political_families_(C)	2008	13	1534	867	157	297787	566	12	5	1145	60	599	565	0
18215937	Tesla_Model_S	2008	12	238348	4573	1347	219403	542	382	107	320	326	576	517	2
18221803	Bo_Burnham	2008	12	2497831	3228	1670	66049	78	122	42	386	375	117	76	4
18238240	Glossary_of_botanical_terms	2008	12	35593	1806	282	327217	11	66	30	1408	1220	36	10	6
18247133	George_Galloway	2003	18	182292	9181	2753	211369	355	2312	410	588	484	397	344	10
18247265	Social_democracy	2001	20	188667	5242	1439	356354	496	1941	281	1357	5264	320	237	249
18248185	Spore_(2008_video_game)	2005	16	39121	8650	3726	77391	95	3598	684	271	380	120	93	3
18285325	List_of_doping_cases_in_cycling	2008	12	15739	1635	446	374053	511	48	26	985	350	628	478	0
18294559	List_of_people_with_surname_Wilson	2008	12	2769	685	280	161387	0	10	9	2062	12	0	0	0
18309966	Billboard_(magazine)	2002	19	144820	1311	760	38159	48	86	49	592	77029	61	45	8
